ToyStory3_jp	{"follow_request_sent": false, "profile_use_background_image": true, "id": 131160105, "verified": false, "profile_sidebar_fill_color": "ffffff", "profile_text_color": "1e00ff", "followers_count": 2604, "profile_sidebar_border_color": "000000", "location": "", "profile_background_color": "ffffff", "listed_count": 143, "status": {"favorited": false, "contributors": null, "source": "web", "text": "おもちゃ同士の固い絆がテーマの「トイ・ストーリー3」。今回、W杯でチームの要として活躍した大久保嘉人選手と、ヴィッセルの田中英雄選手とのトークショーが、8/2にOSシネマズミント神戸にて開催されます！チケットは7/30から発売開始。お近くの方は是非。　#toystory3jp", "created_at": "Thu Jul 29 12:40:19 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [{"indices": [126, 138], "text": "toystory3jp"}], "urls": []}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 19822534620}, "utc_offset": -36000, "statuses_count": 100, "description": "7.10（土）映画『トイ・ストーリー3』公開記念　日本版ディズニー/ピクサー公式アカウントです。恐れ入りますが、こちらでは皆様からのご質問をお受けすることができません。また、投稿内容は削除させて頂く場合がございますので予めご了承下さい。(C)DISNEY/PIXAR", "friends_count": 3, "profile_link_color": "038543", "profile_image_url": "http://a1.twimg.com/profile_images/809201557/sub2_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a3.twimg.com/profile_background_images/104511799/3twitter.jpg", "name": "映画『トイ・ストーリー３』公式", "lang": "ja", "profile_background_tile": false, "favourites_count": 0, "screen_name": "ToyStory3_jp", "url": "http://www.disney.co.jp/toystory/", "created_at": "Fri Apr 09 13:02:26 +0000 2010", "contributors_enabled": false, "time_zone": "Hawaii", "protected": false, "following": false}
SP_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 71689398, "verified": false, "profile_sidebar_fill_color": "DDFFCC", "profile_text_color": "333333", "followers_count": 8167, "profile_sidebar_border_color": "BDDCAD", "location": "情報求めてどこまでも！", "profile_background_color": "9AE4E8", "listed_count": 712, "status": {"favorited": false, "contributors": null, "source": "web", "text": "今日は“カレ”のＳＰ初取材でした～　撮影が終わってもカラダ鍛えてるのが一目で分かります。 #SP_movie", "created_at": "Mon Aug 02 12:25:20 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [{"indices": [45, 54], "text": "SP_movie"}], "urls": []}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20135307185}, "utc_offset": 32400, "statuses_count": 6472, "description": "SP（エスピー）総務課がお届けする、映画「SP 野望篇」「SP 革命篇」制作実況Twitterです。最新情報も発信中！ハッシュタグ #SP_movie をご利用下さい！【制作状況】「野望篇」映像部分が遂に完成／8月にスカイウォーカーサウンドで音響制作／「革命篇」編集進行中／劇場では特報上映中！", "friends_count": 18, "profile_link_color": "0084B4", "profile_image_url": "http://a2.twimg.com/profile_images/579243578/SP_MOVIE_LOGO_BLACK_S_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a3.twimg.com/profile_background_images/60331273/SP_MOVIE_LOGO_WHITE_S.jpg", "name": "映画「SP」オフィシャルアカウント", "lang": "ja", "profile_background_tile": true, "favourites_count": 0, "screen_name": "SP_movie", "url": "http://www.sp-movie.com", "created_at": "Sat Sep 05 01:11:56 +0000 2009", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
beck_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 105077750, "verified": false, "profile_sidebar_fill_color": "DDEEF6", "profile_text_color": "333333", "followers_count": 3367, "profile_sidebar_border_color": "C0DEED", "location": "東京都", "profile_background_color": "e70013", "listed_count": 177, "status": {"favorited": false, "contributors": null, "source": "web", "text": "Eです。深夜のツイートです！楽天infoseekにて『BECK』の特集が始まりました！http://bit.ly/bqL1Hy #beck_movie", "created_at": "Mon Aug 02 17:28:34 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [{"indices": [64, 75], "text": "beck_movie"}], "urls": [{"indices": [43, 63], "url": "http://bit.ly/bqL1Hy", "expanded_url": null}]}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20155125466}, "utc_offset": -36000, "statuses_count": 356, "description": "映画『BECK』のツイッターです。９月４日の公開に向かってつぶやきまくります！\r\nフォローやコメント全てに返事は出来ないかもですが、その分新着情報は一番早くお知らせしようと思います！", "friends_count": 1471, "profile_link_color": "0084B4", "profile_image_url": "http://a1.twimg.com/profile_images/998118609/dog_2540_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a3.twimg.com/profile_background_images/86310293/back.gif", "name": "映画『BECK』チーム", "lang": "ja", "profile_background_tile": false, "favourites_count": 1, "screen_name": "beck_movie", "url": "http://www.beck-movie.jp", "created_at": "Fri Jan 15 08:36:42 +0000 2010", "contributors_enabled": false, "time_zone": "Hawaii", "protected": false, "following": false}
matataki_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 137935009, "verified": false, "profile_sidebar_fill_color": "bedd88", "profile_text_color": "333333", "followers_count": 1735, "profile_sidebar_border_color": "b0db7f", "location": "", "profile_background_color": "ffffff", "listed_count": 68, "status": {"favorited": false, "contributors": null, "source": "web", "text": "@keiko08221986 台北映画祭の動画公開はありません。ごめんなさい。レポートをご覧ください！　http://matatakim.exblog.jp/14173797/", "created_at": "Tue Jul 13 09:35:36 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [{"indices": [0, 14], "id": 129158889, "screen_name": "keiko08221986", "name": "ｈａｋｋｅ８"}], "hashtags": [], "urls": [{"indices": [52, 88], "url": "http://matatakim.exblog.jp/14173797/", "expanded_url": null}]}, "in_reply_to_status_id": 18064146650, "in_reply_to_screen_name": "keiko08221986", "in_reply_to_user_id": 129158889, "place": null, "geo": null, "id": 18424818231}, "utc_offset": 32400, "statuses_count": 1791, "description": "またたきでつぶやき「瞬ツイッター」ではフォロワーサポーターを大募集中！ここでしか知りえない限定情報やイベント生中継などフォロワーになって見逃さないで！北川景子・岡田将生出演の映画「瞬 またたき」は6月19日（土）新宿バルト９他、全国ロードショー。瞬ツイッターできらめき・ときめき・ひらめきをつぶやき★", "friends_count": 1969, "profile_link_color": "0084B4", "profile_image_url": "http://a1.twimg.com/profile_images/857087153/matataki_t_s_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a1.twimg.com/profile_background_images/96452384/matataki_t_kabe.jpg", "name": "映画『瞬 またたき』", "lang": "ja", "profile_background_tile": false, "favourites_count": 0, "screen_name": "matataki_movie", "url": "http://matataki-movie.jp", "created_at": "Wed Apr 28 05:08:56 +0000 2010", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
nodame_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 116723029, "verified": false, "profile_sidebar_fill_color": "DDEEF6", "profile_text_color": "333333", "followers_count": 4030, "profile_sidebar_border_color": "C0DEED", "location": "", "profile_background_color": "C0DEED", "listed_count": 270, "status": {"favorited": false, "contributors": null, "source": "<a href=\"http://twtr.jp\" rel=\"nofollow\">Keitai Web</a>", "text": "あ、後編のDVDも楽しみにしてまぁーす☆APのだめ", "created_at": "Sun Aug 01 11:59:53 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [], "urls": []}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20057546018}, "utc_offset": 32400, "statuses_count": 1536, "description": "映画「のだめカンタービレ 最終楽章」のスタッフです。 ★★募集★★ 「のだめ」への疑問、質問に答えます。タグ＃nodame_movieでつぶやいてください。 参加スタッフ：武内総監督、川村監督、若松P、製作スタッフ数人、宣伝スタッフ数人", "friends_count": 1, "profile_link_color": "0084B4", "profile_image_url": "http://a3.twimg.com/profile_images/733506235/__1_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a1.twimg.com/profile_background_images/77792640/s________.jpg", "name": "映画「のだめカンタービレ」", "lang": "ja", "profile_background_tile": true, "favourites_count": 3, "screen_name": "nodame_movie", "url": "http://www.nodame-movie.jp/index.html", "created_at": "Tue Feb 23 11:35:01 +0000 2010", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
surely_someday	{"follow_request_sent": false, "profile_use_background_image": false, "id": 137621313, "verified": false, "profile_sidebar_fill_color": "ffffff", "profile_text_color": "333333", "followers_count": 1961, "profile_sidebar_border_color": "c9c9c9", "location": "東京都", "profile_background_color": "fdf000", "listed_count": 113, "status": {"favorited": false, "contributors": null, "source": "<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">HootSuite</a>", "text": "@S0miki そうなんですよね～。実はSSSSのときもいらしてたり。常にやさしいアニキです！ #surely_someday", "created_at": "Mon Aug 02 11:06:49 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [{"indices": [0, 7], "id": 136676191, "screen_name": "S0miki", "name": "みきすけ"}], "hashtags": [{"indices": [48, 63], "text": "surely_someday"}], "urls": []}, "in_reply_to_status_id": 20128261859, "in_reply_to_screen_name": "S0miki", "in_reply_to_user_id": 136676191, "place": null, "geo": null, "id": 20131231470}, "utc_offset": null, "statuses_count": 697, "description": "【バカで最強!!!】7月17日（土）公開の映画『シュアリー・サムデイ』公式サイト・ツイッターです。\r\n監督：小栗旬、脚本：武藤将吾、音楽：菅野よう子、出演：小出恵介、勝地涼、鈴木亮平、ムロツヨシ、綾野剛、小西真奈美 ほか／ハッシュタグ ⇒ #surely_someday", "friends_count": 1577, "profile_link_color": "e4007d", "profile_image_url": "http://a0.twimg.com/profile_images/855143896/ico_twitter_normal.gif", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://s.twimg.com/a/1280528898/images/themes/theme17/bg.gif", "name": "映画『シュアリー・サムデイ』", "lang": "ja", "profile_background_tile": false, "favourites_count": 0, "screen_name": "surely_someday", "url": "http://www.surely-someday.jp/", "created_at": "Tue Apr 27 07:54:16 +0000 2010", "contributors_enabled": false, "time_zone": null, "protected": false, "following": false}
gantz_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 170900674, "verified": false, "profile_sidebar_fill_color": "000000", "profile_text_color": "666666", "followers_count": 3374, "profile_sidebar_border_color": "FFFFFF", "location": "", "profile_background_color": "000000", "listed_count": 64, "status": {"favorited": false, "contributors": null, "source": "<a href=\"http://www.nibirutech.com\" rel=\"nofollow\">TwitBird</a>", "text": "わりこです。\nただ今、東宝チーム会見打ち合わせ会議ちゅうです！\n#GANTZ_MOVIE", "created_at": "Tue Aug 03 01:48:18 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [{"indices": [32, 44], "text": "GANTZ_MOVIE"}], "urls": []}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20185159522}, "utc_offset": 32400, "statuses_count": 40, "description": "", "friends_count": 3, "profile_link_color": "CC3300", "profile_image_url": "http://a3.twimg.com/profile_images/1089499075/twiter_icon_test_normal.png", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a1.twimg.com/profile_background_images/127678972/twitter_bg_test.jpg", "name": "映画『ＧＡＮＴＺ』", "lang": "ja", "profile_background_tile": true, "favourites_count": 0, "screen_name": "gantz_movie", "url": "http://gantz-movie.com/", "created_at": "Mon Jul 26 02:07:58 +0000 2010", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
eigacom	{"follow_request_sent": false, "profile_use_background_image": true, "id": 7550252, "verified": false, "profile_sidebar_fill_color": "95E8EC", "profile_text_color": "3C3940", "followers_count": 4202, "profile_sidebar_border_color": "dae5eb", "location": "東京都中央区", "profile_background_color": "0099B9", "listed_count": 970, "status": {"favorited": false, "contributors": null, "source": "web", "text": "[映画.com magazine 8月号] ビーチやフェスで大はしゃぎ！セレブのプライベート大公開 http://eiga.com/l/Ue0X #eiga #movie #cinema", "created_at": "Mon Aug 02 12:42:41 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [{"indices": [73, 78], "text": "eiga"}, {"indices": [79, 85], "text": "movie"}, {"indices": [86, 93], "text": "cinema"}], "urls": [{"indices": [50, 72], "url": "http://eiga.com/l/Ue0X", "expanded_url": null}]}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20136334170}, "utc_offset": 32400, "statuses_count": 3568, "description": "映画のことなら 映画.com！最新の映画ニュースをお伝えします。", "friends_count": 389, "profile_link_color": "d9386e", "profile_image_url": "http://a2.twimg.com/profile_images/1041709126/eiga-com_for_twitter_normal.png", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://s.twimg.com/a/1280514101/images/themes/theme4/bg.gif", "name": "映画.com", "lang": "ja", "profile_background_tile": false, "favourites_count": 0, "screen_name": "eigacom", "url": "http://eiga.com/", "created_at": "Wed Jul 18 05:53:12 +0000 2007", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
toilet_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 112669184, "verified": false, "profile_sidebar_fill_color": "b6c6c2", "profile_text_color": "333333", "followers_count": 1803, "profile_sidebar_border_color": "b6c6c2", "location": "Tokyo", "profile_background_color": "ffffff", "listed_count": 135, "status": {"favorited": false, "contributors": null, "source": "web", "text": "「トイレット」のYahoo！オフィシャルチャンネルに、センセー（猫）ver.の予告篇をアップしております。まだ観ていないよ！というセンセー（猫）ファンのみなさん、ぜひ、おたのしみください　http://ch.yahoo.co.jp/toilet-movie/", "created_at": "Mon Aug 02 09:31:26 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [], "urls": [{"indices": [94, 129], "url": "http://ch.yahoo.co.jp/toilet-movie/", "expanded_url": null}]}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20127127552}, "utc_offset": 32400, "statuses_count": 168, "description": "『かもめ食堂』、『めがね』の荻上直子監督待望の最新作！バラバラで生きてきた3兄妹と日本人の”ばーちゃん”が織りなす、家族の絆の物語。8/28（土）より全国ロードショー！", "friends_count": 1793, "profile_link_color": "e15043", "profile_image_url": "http://a1.twimg.com/profile_images/733739289/icon_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a1.twimg.com/profile_background_images/82002316/bg02.jpg", "name": "映画『トイレット』", "lang": "ja", "profile_background_tile": false, "favourites_count": 1, "screen_name": "toilet_movie", "url": "http://toilet-movie.com", "created_at": "Tue Feb 09 09:23:12 +0000 2010", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
jp_movie	{"follow_request_sent": false, "profile_use_background_image": true, "id": 107741541, "verified": false, "profile_sidebar_fill_color": "DDEEF6", "profile_text_color": "333333", "followers_count": 2671, "profile_sidebar_border_color": "C0DEED", "location": "Japan", "profile_background_color": "C0DEED", "listed_count": 385, "status": {"favorited": false, "contributors": null, "source": "<a href=\"http://twitterfeed.com\" rel=\"nofollow\">twitterfeed</a>", "text": "生田斗真が光源氏に！角川映画で実現 http://bit.ly/bDcjfj", "created_at": "Tue Aug 03 02:11:38 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [], "urls": [{"indices": [18, 38], "url": "http://bit.ly/bDcjfj", "expanded_url": null}]}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20186695273}, "utc_offset": 32400, "statuses_count": 979, "description": "最新の映画情報/ニュースを配信しています。 作者: @iphouch http://twitter.com/iphouch", "friends_count": 1, "profile_link_color": "0084B4", "profile_image_url": "http://a0.twimg.com/profile_images/785295324/jp_movie_normal.png", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://s.twimg.com/a/1280514101/images/themes/theme1/bg.png", "name": "映画 ニュース配信", "lang": "ja", "profile_background_tile": false, "favourites_count": 0, "screen_name": "jp_movie", "url": "http://twitter.com/iphouch", "created_at": "Sat Jan 23 15:34:34 +0000 2010", "contributors_enabled": false, "time_zone": "Tokyo", "protected": false, "following": false}
seaside_motel	{"follow_request_sent": false, "profile_use_background_image": true, "id": 142254149, "verified": false, "profile_sidebar_fill_color": "DDEEF6", "profile_text_color": "333333", "followers_count": 1863, "profile_sidebar_border_color": "C0DEED", "location": "山の中なのにシーサイドモーテル", "profile_background_color": "C0DEED", "listed_count": 152, "status": {"favorited": false, "contributors": null, "source": "web", "text": "ぜひお近くの劇場さんに強く訴えてみてください！RT@kurobutachang まずは上映してください（´∩｀）ｸﾞｽﾝ@鹿児島", "created_at": "Mon Aug 02 15:59:23 +0000 2010", "truncated": false, "coordinates": null, "entities": {"user_mentions": [], "hashtags": [], "urls": []}, "in_reply_to_status_id": null, "in_reply_to_screen_name": null, "in_reply_to_user_id": null, "place": null, "geo": null, "id": 20149454911}, "utc_offset": null, "statuses_count": 443, "description": "ダマしてる？ダマされてる？人生を賭けた騙し合いへ、Let's チェックイン!!6月5日公開の映画『シーサイドモーテル』の公式アカウントです。", "friends_count": 1802, "profile_link_color": "0084B4", "profile_image_url": "http://a2.twimg.com/profile_images/888699810/seaside_logo_normal.jpg", "notifications": false, "show_all_inline_media": false, "geo_enabled": false, "profile_background_image_url": "http://a3.twimg.com/profile_background_images/100155069/seaside_wall.jpg", "name": "映画『シーサイドモーテル』", "lang": "ja", "profile_background_tile": false, "favourites_count": 1, "screen_name": "seaside_motel", "url": "http://seaside-motel.net/", "created_at": "Mon May 10 11:28:31 +0000 2010", "contributors_enabled": false, "time_zone": null, "protected": false, "following": false}
